Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	12	Adult	Female	SYER6229	2_FR_25_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	31	Adult	Female	SYER6232	2_FR_25_10_18
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	19	41	58	Adult	Female	SYER6304	2_FR_25_10_19
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	24	Adult	Female	SYER6321	2_FR_25_10_21
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	40	Adult	Female	SYER6324	2_FR_25_10_21
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	21	5	56	Adult	Female	SYER6327	2_FR_25_10_21
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	16	23	Adult	Female	SYER6334	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	16	36	Adult	Female	SYER6337	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	21	Adult	Female	SYER6340	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	33	Adult	Female	SYER6343	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	44	Adult	Female	SYER6346	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	17	53	Adult	Female	SYER6349	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	23	18	55	Adult	Female	SYER6352	2_FR_25_10_23
swift	large	1	C	SE61	C1	2	Cow	FR	25	10	2020	23	24	58	Adult	Female	SYER2911	2_FR_25_10_23
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	8	33	Adult	Female	SYER1561	2_RX_17_10_7
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	8	41	Adult	Female	SYER1564	2_RX_17_10_7
swift	large	1	R	SE63	R2	2	Cow	RX	17	10	2020	7	10	29	Adult	Female	SYER1570	2_RX_17_10_7
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	35	55	Adult	Female	SYER0046	2_RX_20_10_8
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	36	29	Adult	Female	SYER0049	2_RX_20_10_8
swift	large	1	R	SE60	R1	2	Cow	RX	20	10	2020	8	36	54	Adult	Female	SYER0052	2_RX_20_10_8
swift	large	1	R	SE63	R2	2	Cow	RX	20	10	2020	8	37	17	Adult	Female	SYER3412	2_RX_20_10_8
swift	large	1	R	SE63	R2	2	Cow	RX	21	10	2020	18	11	3	Adult	Female	SYER4348	2_RX_21_10_18
swift	large	1	R	SE63	R2	2	Cow	RX	21	10	2020	18	11	17	Adult	Female	SYER4351	2_RX_21_10_18
swift	large	1	R	SE63	R2	2	Cow	RX	25	10	2020	19	42	12	Adult	Female	SYER6308	2_RX_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	38	30	Adult	Female	SYER6250	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	38	47	Adult	Female	SYER6253	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	1	Adult	Female	SYER6256	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	22	Adult	Female	SYER6262	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	32	Adult	Female	SYER6265	2_SS_25_10_19
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	43	Adult	Female	SYER6268	2_SS_25_10_19
