Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num	anim_hr	behav
swift	large	4	C	SE48	C3	37	Kangaroo	FR	22	10	2020	11	7	36	Adult	Unknown	SYER2856	37_FR_22_10_11	1
swift	large	4	C	SE51	C4	38	Kangaroo	FR	22	10	2020	11	7	49	Adult	Unknown	SYER7766	38_FR_22_10_11	1
swift	large	4	C	SE51	C4	39	Kangaroo	FR	22	10	2020	11	8	2	Adult	Unknown	SYER7768	39_FR_22_10_11	1
swift	large	4	C	SE51	C4	39	Kangaroo	SS	22	10	2020	11	8	46	Adult	Unknown	SYER7777	39_SS_22_10_11	1
swift	large	4	C	SE51	C4	40	Kangaroo	FR	22	10	2020	11	9	27	Adult	Unknown	SYER7783	40_FR_22_10_11	1
swift	large	4	C	SE51	C4	41	Kangaroo	FR	22	10	2020	11	10	19	Adult	Unknown	SYER7792	41_FR_22_10_11	1
swift	large	4	C	SE51	C4	41	Kangaroo	SS	22	10	2020	11	9	27	Adult	Unknown	SYER7783	41_SS_22_10_11	1
swift	large	4	C	SE51	C4	42	Kangaroo	FR	22	10	2020	11	10	19	Juvenile	Unknown	SYER7792	42_FR_22_10_11	1
swift	large	4	R	SE57	R1	43	Kangaroo	FR	17	10	2020	18	41	46	Juvenile	Unknown	SYER3401	43_FR_17_10_18	1
swift	large	4	R	SE57	R1	43	Kangaroo	SS	17	10	2020	18	41	55	Juvenile	Unknown	SYER3404	43_SS_17_10_18	1
swift	large	4	R	SE57	R1	44	Hare	FR	19	10	2020	22	49	54	Adult	Unknown	SYER5216	44_FR_19_10_22	1
swift	large	4	R	SE57	R1	45	Fox	FR	22	10	2020	1	4	46	Adult	Unknown	SYER6366	45_FR_22_10_1	1
swift	large	4	R	SE57	R1	46	Kangaroo	FR	22	10	2020	11	7	7	Adult	Unknown	SYER6440	46_FR_22_10_11	1
swift	large	4	R	SE57	R1	47	Kangaroo	FR	22	10	2020	11	9	11	Adult	Unknown	SYER6446	47_FR_22_10_11	1
swift	large	4	R	SE51	R1	48	Kangaroo	FR	22	10	2020	11	9	58	Adult	Unknown	SYER6449	48_FR_22_10_11	1
swift	large	4	R	SE51	R1	49	Kangaroo	RX	22	10	2020	11	10	10	Adult	Unknown	SYER6452	49_RX_22_10_11	0
reconyx	small	8	C	RH1	C4	50	Kangaroo	FR	14	10	2020	5	15	52	Unknown	Unknown	RCNX0400	50_FR_14_10_5	1
reconyx	small	8	C	RH1	C4	51	Kangaroo	FR	15	10	2020	15	41	16	Adult	Female	RCNX2242	51_FR_15_10_15	1
reconyx	small	8	C	RH1	C4	52	Kangaroo	FR	15	10	2020	16	57	1	Adult	Female	RCNX2266	52_FR_15_10_16	1
reconyx	small	8	C	RH1	C4	52	Kangaroo	SS	15	10	2020	16	56	53	Adult	Female	RCNX2257	52_SS_15_10_16	1
reconyx	small	8	C	RH1	C4	53	Kangaroo	FR	15	10	2020	16	56	53	Juvenile	Unknown	RCNX2257	53_FR_15_10_16	1
reconyx	small	8	C	RH1	C4	53	Kangaroo	SS	15	10	2020	16	56	55	Juvenile	Unknown	RCNX2260	53_SS_15_10_16	1
reconyx	small	8	R	RH3	R1	54	Whiptail	FR	16	10	2020	5	50	8	Juvenile	Unknown	RCNX0886	54_FR_16_10_5	1
reconyx	small	8	C	RH1	C4	54	Whiptail	SS	16	10	2020	6	7	36	Juvenile	Unknown	RCNX2308	54_SS_16_10_6	1
reconyx	small	8	C	RH1	C4	55	Kangaroo	FR	16	10	2020	13	32	52	Adult	Unknown	RCNX3238	55_FR_16_10_13	1
reconyx	small	8	C	RH1	C4	55	Kangaroo	SS	16	10	2020	13	32	44	Adult	Unknown	RCNX3236	55_SS_16_10_13	1
reconyx	small	8	C	RH1	C4	56	Kangaroo	FR	16	10	2020	17	18	28	Adult	Unknown	RCNX3433	56_FR_16_10_17	1
reconyx	small	8	C	RH1	C4	57	Kangaroo	FR	16	10	2020	17	20	52	Adult	Unknown	RCNX3440	57_FR_16_10_17	1
reconyx	small	8	C	RH1	C4	58	Kangaroo	FR	16	10	2020	17	52	22	Adult	Male	RCNX3445	58_FR_16_10_17	1
reconyx	small	8	R	RH3	R1	58	Kangaroo	RX	16	10	2020	17	53	21	Adult	Male	RCNX1093	58_RX_16_10_17	0
reconyx	small	8	C	RH1	C4	59	Whiptail	FR	17	10	2020	5	19	55	Adult	Unknown	RCNX3451	59_FR_17_10_5	1
reconyx	small	8	C	RH1	C4	60	Whiptail	FR	17	10	2020	5	20	26	Adult	Unknown	RCNX3463	60_FR_17_10_5	1
reconyx	small	8	R	RH3	R1	61	Kangaroo	FR	17	10	2020	5	23	38	Adult	Unknown	RCNX1168	61_FR_17_10_5	1
reconyx	small	8	R	RH3	R1	61	Kangaroo	SS	17	10	2020	5	23	47	Adult	Unknown	RCNX1171	61_SS_17_10_5	1
reconyx	small	8	C	RH1	C4	62	Kangaroo	FR	17	10	2020	15	9	2	Adult	Unknown	RCNX3850	62_FR_17_10_15	1
reconyx	small	8	C	RH1	C4	62	Kangaroo	SS	17	10	2020	15	9	17	Adult	Unknown	RCNX3859	62_SS_17_10_15	1
reconyx	small	8	C	RH1	C4	63	Kangaroo	FR	20	10	2020	15	27	48	Adult	Unknown	RCNX3985	63_FR_20_10_15	1
reconyx	small	8	C	RH1	C4	63	Kangaroo	SS	20	10	2020	15	42	18	Adult	Unknown	RCNX4003	63_SS_20_10_15	1
reconyx	small	8	C	RH1	C4	64	Kangaroo	FR	20	10	2020	15	27	48	Adult	Unknown	RCNX3985	64_FR_20_10_15	1
reconyx	small	8	C	RH1	C4	64	Kangaroo	SS	20	10	2020	15	42	18	Adult	Unknown	RCNX4003	64_SS_20_10_15	1
reconyx	small	8	R	RH3	R1	65	Kangaroo	FR	20	10	2020	15	48	55	Adult	FWPJ	RCNX1810	65_FR_20_10_15	1
reconyx	small	8	R	RH3	R1	66	Kangaroo	SS	20	10	2020	15	48	55	Joey	Unknown	RCNX1810	66_SS_20_10_15	1
reconyx	small	8	C	RH2	C3	67	Kangaroo	FR	20	10	2020	16	9	54	Adult	Unknown	RCNX2773	67_FR_20_10_16	1
reconyx	small	8	C	RH1	C4	67	Kangaroo	SS	20	10	2020	16	13	21	Adult	Unknown	RCNX4054	67_SS_20_10_16	1
reconyx	small	8	C	RH1	C4	68	Kangaroo	FR	20	10	2020	16	12	53	Adult	Female	RCNX4024	68_FR_20_10_16	1
reconyx	small	8	C	RH1	C4	69	Rodent	FR	21	10	2020	0	14	17	Unknown	Unknown	RCNX4075	69_FR_21_10_0	1
reconyx	small	8	C	RH2	C3	70	Whiptail	FR	21	10	2020	5	3	5	Adult	Unknown	RCNX2824	70_FR_21_10_5	1
reconyx	small	8	C	RH2	C3	70	Whiptail	RX	21	10	2020	5	7	54	Adult	Unknown	RCNX2842	70_RX_21_10_5	0
reconyx	small	8	C	RH1	C4	71	Whiptail	FR	21	10	2020	5	18	3	Adult	Unknown	RCNX4084	71_FR_21_10_5	1
reconyx	small	8	C	RH5	C2	71	Whiptail	RX	21	10	2020	5	22	6	Adult	Unknown	RCNX1813	71_RX_21_10_5	0
reconyx	small	8	C	RH1	C4	72	Whiptail	FR	21	10	2020	5	58	41	Adult	Unknown	RCNX4090	72_FR_21_10_5	1
reconyx	small	8	C	RH1	C4	73	Kangaroo	FR	21	10	2020	6	14	37	Adult	Unknown	RCNX4096	73_FR_21_10_6	1
reconyx	small	8	C	RH2	C3	73	Kangaroo	RX	21	10	2020	6	15	21	Adult	Unknown	RCNX2884	73_RX_21_10_6	0
reconyx	small	8	C	RH1	C4	74	Whiptail	FR	21	10	2020	6	14	37	Adult	Unknown	RCNX4096	74_FR_21_10_6	1
