Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Kangaroo	Whiptail	Macropod	Monitor	Cow	Fox	Possum	Hare	Rabbit	Dog	Deer	Amphibian	Snake	Dragon	Rodent	Quail	Cat	Unknown	All_animals						
reconyx	small	14	C	UQ35	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
reconyx	small	14	R	HP07	R1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1						
reconyx	small	14	R	RH3	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	15	C	S04	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
swift	small	15	C	S07	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	15	C	S18	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	15	C	S16	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
swift	small	15	R	S09	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1						
swift	small	15	R	S14	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1						
swift	small	16	C	S12	C1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1						
swift	small	16	C	S16	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	16	C	S13	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	16	C	S05	C4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2						
swift	small	16	R	S06	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1						
swift	small	16	R	S18	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	17	C	UQ26	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	17	C	UQ51	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	17	C	UQ55	C3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2						
swift	large	17	C	UQ33	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	large	17	R	UQ16	R1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1						
swift	large	17	R	UQ11	R2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10						
reconyx	large	18	C	SE47	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	18	C	SE62	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	18	C	SE54	C3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2						
reconyx	large	18	C	SE63	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	large	18	R	SE66	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1						
reconyx	large	18	R	SE48	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	19	C	S02	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	19	C	S03	C2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2						
swift	small	19	C	S10	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	19	C	S15	C4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8						
swift	small	19	R	S08	R1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1						
swift	small	19	R	S17	R2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1						
swift	small	20	C	UQ14	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2						
swift	small	20	C	UQ59	C2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2						
swift	small	20	C	UQ35	C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5						
swift	small	20	C	UQ51	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	20	R	UQ55	R1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2						
swift	small	20	R	UQ126	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	21	C	RH6	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	21	C	RH5	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
reconyx	small	21	C	RH4	C3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1						
reconyx	small	21	C	RH7	C4	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3						
reconyx	small	21	R	RH1	R1	0	0	1	0	0	0	1	6	0	8	0	0	0	0	0	0	0	0	16						
reconyx	small	21	R	RH2	R2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	3						
swift	small	22	C	S13	C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	22	C	S05	C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	22	C	S03	C3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	6						
swift	small	22	C	S01	C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
swift	small	22	R	S12	R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
