Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	30	Adult	Female	SYER5839
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	40	Adult	Female	SYER5842
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	41	51	Adult	Female	SYER5845
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	42	17	Adult	Female	SYER5848
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	46	0	Adult	Female	SYER5851
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	47	11	Adult	Female	SYER5854
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	16	47	30	Adult	Female	SYER5857
swift	large	1	R	SE63	R2	2	Cow	FR	24	10	2020	18	12	3	Adult	Female	SYER6220
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	30	49	Adult	Female	SYER6223
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	2	Adult	Female	SYER6226
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	12	Adult	Female	SYER6229
swift	large	1	R	SE63	R2	2	Cow	FR	25	10	2020	18	31	31	Adult	Female	SYER6232
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	38	30	Adult	Female	SYER6250
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	38	47	Adult	Female	SYER6253
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	1	Adult	Female	SYER6256
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	22	Adult	Female	SYER6262
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	32	Adult	Female	SYER6265
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	43	Adult	Female	SYER6268
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	39	54	Adult	Female	SYER6271
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	5	Adult	Female	SYER6274
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	15	Adult	Female	SYER6277
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	27	Adult	Female	SYER6280
swift	large	1	R	SE63	R2	2	Cow	SS	25	10	2020	19	40	37	Adult	Female	SYER6283
